,,,,,Mars ZX2,Pin Numbers,,Mars ZX2
,,,,,Xilinx,,,Xilinx
,,,,,Zynq-7000,,,Zynq-7000
,,,,,CLG400,,,CLG400
,,,,,R2,,,R2
,,,,,18 Aug 2016,,,18 Aug 2016
,,,,,Signal Name,Top,Bottom,Signal Name
,,,,,VCC_MOD,1,2,GND
,,,,,VCC_MOD,3,4,IO_B34_L12_MRCC_U18_P
,,,,,VCC_MOD,5,6,IO_B34_L12_MRCC_U19_N
,,,,,VCC_MOD,7,8,GND
,,,,,VCC_MOD,9,10,IO_B34_L11_SRCC_U14_P
,,,,,VCC_MOD,11,12,IO_B34_L11_SRCC_U15_N
,,,,,PWR_EN,13,14,GND
,,,,,GND,15,16,IO_B34_L21_V17_P
,,,,,IO_B34_L20_T17_P,17,18,IO_B34_L21_V18_N
,,,,,IO_B34_L20_R18_N,19,20,GND
,,,,,GND,21,22,IO_B34_L3_PUDC#_U13_P
,,,,,IO_B34_L2_T12_P,23,24,IO_B34_L3_V13_N
,,,,,IO_B34_L2_U12_N,25,26,GND
,,,,,GND,27,28,IO_B34_L1_T11_P
,,,,,IO_B34_L18_V16_P,29,30,IO_B34_L1_T10_N
,,,,,IO_B34_L18_W16_N,31,32,GND
,,,,,GND,33,34,IO_B34_L4_V12_P
,,,,,IO_B34_L19_R16_P,35,36,IO_B34_L4_W13_N
,,,,,IO_B34_L19_VREF_R17_N,37,38,GND
,,,,,GND,39,40,PWR_GOOD
,,,,,1.8V Key,,,1.8V Key
,,,,,,,,
,,,,,,,,
,,,,,VCC_1V35,41,42,VCC_1V0_PS
,,,,,IO_B34_L13_MRCC_N18_P,43,44,IO_B34_L8_W14_P
,,,,,IO_B34_L13_MRCC_P19_N,45,46,IO_B34_L8_Y14_N
,,,,,GND,47,48,IO_B34_L6_P14_P
,,,,,IO_B34_L14_SRCC_N20_P,49,50,IO_B34_L6_VREF_R14_N
,,,,,IO_B34_L14_SRCC_P20_N,51,52,GND
,,,,,VCC_IO_B34,53,54,IO_B34_L5_T14_P
,,,,,IO_B34_L10_V15_P,55,56,IO_B34_L5_T15_N
,,,,,IO_B34_L10_W15_N,57,58,IO_B34_L9_T16_P
,,,,,IO_B34_L7_Y16_P,59,60,IO_B34_L9_U17_N
,,,,,IO_B34_L7_Y17_N,61,62,VCC_IO_B34
,,,,,GND,63,64,IO_B34_L24_P15_P
,,,,,IO_B34_L17_Y18_P,65,66,IO_B34_L24_P16_N
,,,,,IO_B34_L17_Y19_N,67,68,IO_B34_L23_N17_P
,,,,,IO_B34_L22_W18_P,69,70,IO_B34_L23_P18_N
,,,,,IO_B34_L22_W19_N,71,72,GND
,,,,,VCC_IO_B34,73,74,IO_B34_L16_V20_P
,,,,,IO_B35_L21_AD14_N15_P,75,76,IO_B34_L16_W20_N
,,,,,IO_B35_L21_AD14_N16_N,77,78,IO_B34_L15_T20_P
,,,,,IO_B35_L7_AD2_M19_P,79,80,IO_B34_L15_U20_N
,,,,,IO_B35_L7_AD2_M20_N,81,82,VCC_IO_B35
,,,,,GND,83,84,IO_B35_L23_M14_P
,,,,,IO_B35_L13_MRCC_H16_P,85,86,IO_B35_L23_M15_N
,,,,,IO_B35_L13_MRCC_H17_N,87,88,GND
,,,,,VCC_1V8_PS,89,90,IO_B35_L22_AD7_L14_P
,,,,,IO_B35_L9_AD3_L19_P,91,92,IO_B35_L22_AD7_L15_N
,,,,,IO_B35_L9_AD3_L20_N,93,94,VCC_1V8_PS
,,,,,GND,95,96,IO_B35_L20_AD6_K14_P
,,,,,IO_B35_L10_AD11_K19_P,97,98,IO_B35_L20_AD6_J14_N
,,,,,IO_B35_L10_AD11_J19_N,99,100,GND
,,,,,VCC_1V8_PS,101,102,IO_B35_L19_H15_P
,,,,,IO_B35_L14_AD4_SRCC_J18_P,103,104,IO_B35_L19_VREF_G15_N
,,,,,IO_B35_L14_AD4_SRCC_H18_N,105,106,VCC_1V8_PS
,,,,,GND,107,108,IO_B35_L8_AD10_M17_P
,,,,,IO_B35_L17_AD5_J20_P,109,110,IO_B35_L8_AD10_M18_N
,,,,,IO_B35_L17_AD5_H20_N,111,112,IO_B35_L12_MRCC_K17_P
,,,,,IO_B35_L18_AD13_G19_P,113,114,IO_B35_L12_MRCC_K18_N
,,,,,IO_B35_L18_AD13_G20_N,115,116,GND
,,,,,VCC_IO_B35,117,118,IO_B35_L24_AD15_K16_P
,,,,,IO_B35_L15_AD12_F19_P,119,120,IO_B35_L24_AD15_J16_N
,,,,,IO_B35_L15_AD12_F20_N,121,122,IO_B35_L16_G17_P
,,,,,IO_B35_L4_D19_P,123,124,IO_B35_L16_G18_N
,,,,,IO_B35_L4_D20_N,125,126,VCC_IO_B35
,,,,,GND,127,128,IO_B35_L11_SRCC_L16_P
,,,,,IO_B35_L1_AD0_C20_P,129,130,IO_B35_L11_SRCC_L17_N
,,,,,IO_B35_L1_AD0_B20_N,131,132,IO_B35_L6_F16_P
,,,,,IO_B35_L2_AD8_B19_P,133,134,IO_B35_L6_VREF_F17_N
,,,,,IO_B35_L2_AD8_A20_N,135,136,GND
,,,,,VCC_CFG_MIO_B13,137,138,IO_B35_L5_AD9_E18_P
,,,,,IO_MIO40_B13_L16_W10,139,140,IO_B35_L5_AD9_E19_N
,,,,,IO_MIO41_B13_L16_W9,141,142,IO_B35_L3_AD1_E17_P
,,,,,IO_MIO42_B13_L18_W11,143,144,IO_B35_L3_AD1_D18_N
,,,,,IO_MIO43_B13_L18_Y11,145,146,VCC_CFG_MIO_B13
,,,,,GND,147,148,IO_MIO48_B13_L11_SRCC_U7
,,,,,IO_MIO44_B13_L14_SRCC_Y9,149,150,IO_MIO49_B13_L11_V7
,,,,,IO_MIO45_B13_L14_Y8,151,152,IO_MIO50_B13_L12_MRCC_T9
,,,,,IO_MIO46_B13_L19_T5,153,154,IO_MIO51_B13_L12_U10
,,,,,IO_MIO47_B13_L19_U5,155,156,GND
,,,,,GND,157,158,JTAG_TCK
,,,,,USB_D_P,159,160,JTAG_TDI
,,,,,USB_D_N,161,162,JTAG_TMS
,,,,,USB_VBUS,163,164,JTAG_TDO
,,,,,USB_ID,165,166,USB_CPEN
,,,,,GND,167,168,- (*6)
,,,,,ETH_A_N,169,170,-
,,,,,ETH_A_P,171,172,GND
,,,,,ETH_LED1#,173,174,I2C_INT#
,,,,,ETH_LED2#,175,176,I2C_SDA
,,,,,ETH_B_N,177,178,I2C_SCL
,,,,,ETH_B_P,179,180,GND
,,,,,ETH_CTREF,181,182,FLASH_CLK
,,,,,ETH_C_N,183,184,FLASH_DO
,,,,,ETH_C_P,185,186,FLASH_DI
,,,,,-,187,188,FLASH_CS#
,,,,,-,189,190,BOOT_MODE
,,,,,ETH_D_N,191,192,PS_SRST#
,,,,,ETH_D_P,193,194,FPGA_DONE
,,,,,GND,195,196,PS_POR#
,,,,,VCC_3V3,197,198,VMON_1V2
,,,,,VCC_3V3,199,200,VCC_BAT
