Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.940000,6.310000,270.000000,bottom
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.940000,-6.310000,270.000000,bottom
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.130000,6.310000,270.000000,bottom
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.130000,-6.310000,270.000000,bottom
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.940000,12.630000,270.000000,bottom
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.940000,-12.630000,270.000000,bottom
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.130000,12.630000,270.000000,bottom
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.180000,-12.630000,270.000000,bottom
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",0.000000,-3.180000,270.000000,bottom
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.310000,6.310000,270.000000,bottom
"C11","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.310000,-6.310000,270.000000,bottom
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.940000,6.310000,270.000000,bottom
"C13","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.940000,-6.310000,270.000000,bottom
"C14","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.310000,12.630000,270.000000,bottom
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",6.310000,-12.630000,270.000000,bottom
"C16","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.940000,12.630000,270.000000,bottom
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.940000,-12.630000,270.000000,bottom
"U1","LM94021","Texas_R-PDSO-G6",0.000000,0.000000,180.000000,bottom
