Source,/home/hazen/work/ARICH/PCB/hardware/siPM_Board/trunk/SiPM_Board.sch
Kicad Rev,Eeschema 5.1.9-73d0e3b20d~88~ubuntu20.04.1
Generated Date,Mon 01 Mar 2021 10:09:39 AM EST

Title,SiPM Schematic
Company,Electronics Design Facility
Revision,Not Set
Date Issue,2021-02-24
Comment,Final Draft

Reference,Value,Item Cost,MFN,Supplier,Supplier P/N,Library,Library Ref
J1,Conn_02x34_Odd_Even,$0,MW-34-03-G-D-245-065-ES,Samtec,MW-34-03-G-D-245-065-ES,Connector_Generic,Conn_02x34_Odd_Even
U5,S14161-6050HS-04,Arich_SiPM_Board_Parts,S14161-6050HS-04
J2,Conn_02x34_Odd_Even,$0,MW-34-03-G-D-245-065-ES,Samtec,MW-34-03-G-D-245-065-ES,Connector_Generic,Conn_02x34_Odd_Even
U2,S14161-6050HS-04,Arich_SiPM_Board_Parts,S14161-6050HS-04
U3,S14161-6050HS-04,Arich_SiPM_Board_Parts,S14161-6050HS-04
C16,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C14,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
U4,S14161-6050HS-04,Arich_SiPM_Board_Parts,S14161-6050HS-04
C8,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C6,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C17,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C15,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C9,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
U1,LM94021,$1.28,LM94021BIMG/NOPB,Digi-Key,LM94021BIMG/NOPBCT-ND,Arich_SiPM_Board_Parts,LM94021
C3,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C1,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C4,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C2,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C13,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C11,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C12,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C10,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C5,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
C7,100nF,$0.12,0603B104K101CT,Digi-Key,1292-1392-1-ND,Device,C
